#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

    1007.5400       2.842522
    1007.6400       2.840860
    1007.7401       2.841502
    1007.8400       2.841506
    1007.9401       2.841070
    1008.0400       2.824651
    1008.1400       2.840257
    1008.2401       2.839820
    1008.3400       2.839676
    1008.4401       5.368396
    1008.5400      76.394424
    1008.6400       2.845118
    1008.7401       2.838213
    1008.8400       2.837848
    1008.9401       2.828840
    1009.0400       2.828635
    1009.1400       2.836503
    1009.2401       3.002243
    1009.3400       2.914485
    1009.4401       2.824739
    1009.5400       2.814883
    1009.6400       2.834438
    1009.7401       2.828906
    1009.8400       2.834682
    1009.9401       4.542025
    1010.0400       2.977144
    1010.1400       2.833091
    1010.2401       2.824477
    1010.3400       2.831530
    1010.4401       2.831996
    1010.5400       2.932808
    1010.6400      33.720772
    1010.7401       2.880702
    1010.8400       2.827311
    1010.9401       2.829986
    1011.0400       2.829425
    1011.1400       2.829441
    1011.2401       2.827043
    1011.3400       2.828683
    1011.4401       2.828123
    1011.5400       2.827873
    1011.6400       2.827778
    1011.7401       2.826796
    1011.8400       2.823501
    1011.9401       2.825451
    1012.0400       2.826155
    1012.1400       2.813578
    1012.2401       2.821677
    1012.3400       2.825061
    1012.4401       3.002629
    1012.5400       4.242161
    1012.6400      67.479179
    1012.7401      28.224737
    1012.8400       2.902980
    1012.9401       2.823211
    1013.0400       2.822507
    1013.1400       2.821801
    1013.2401       2.817740
    1013.3400       2.821413
    1013.4401       3.452861
    1013.5400       4.898515
    1013.6400       3.512416
    1013.7401       2.819955
    1013.8400       2.819591
    1013.9401       2.819226
    1014.0400       2.818861
    1014.1400       2.818497
    1014.2401       2.818132
    1014.3400       2.814598
    1014.4401       2.814655
    1014.5400       2.979357
    1014.6400       4.145045
    1014.7401       3.002010
    1014.8400       3.066399
    1014.9401       3.361925
    1015.0400       2.831870
    1015.1400       7.216649
    1015.2401       4.632256
    1015.3400       2.814126
    1015.4401       2.813947
    1015.5400      28.235437
    1015.6400       8.281788
    1015.7401       2.816504
    1015.8400       2.813279
    1015.9401       2.811940
    1016.0400       3.472535
    1016.1400      24.662853
    1016.2401       2.821058
    1016.3400       2.810498
    1016.4401       2.810168
    1016.5400       2.809836
    1016.6400       3.707418
    1016.7401      13.317045
    1016.8400       2.805435
    1016.9401       2.806485
    1017.0400       2.829774
    1017.1400       2.807820
    1017.2401       2.807218
    1017.3400       3.083751
    1017.4401     100.350288
    1017.5400      36.586998
    1017.6400       2.847145
    1017.7401       2.881580
    1017.8400       2.805251
    1017.9401       2.804404
    1018.0400       2.804302
    1018.1400       2.803938
    1018.2401       2.803576
    1018.3400      21.416641
    1018.4401      12.572217
    1018.5400       2.802482
    1018.6400       2.800872
    1018.7401       2.801776
    1018.8400       2.801403
    1018.9401       2.801032
    1019.0400       2.800668
    1019.1400       2.857445
    1019.2401     122.893471
    1019.3400       4.829391
    1019.4401       2.795160
